id,congestion
Graz 2021-12-01,38.0
Vienna 2021-12-01,32.67213114754098
Brussels 2021-12-01,42.36363636363637
Charleroi 2021-12-01,20.745222929936304
Brno 2021-12-01,36.0
Prague 2021-12-01,37.04761904761905
Copenhagen 2021-12-01,40.333333333333336
Tallinn 2021-12-01,28.78030303030303
Helsinki 2021-12-01,19.404761904761905
Grenoble 2021-12-01,50.4
Lille 2021-12-01,38.701492537313435
Paris 2021-12-01,50.166666666666664
Berlin 2021-12-01,42.97709923664122
Bremen 2021-12-01,34.19277108433735
Cologne 2021-12-01,39.45
Dresden 2021-12-01,31.9
Munich 2021-12-01,37.04761904761905
Athens 2021-12-01,50.108108108108105
Budapest 2021-12-01,31.9
Cork 2021-12-01,56.0
Dublin 2021-12-01,50.22222222222222
Bologna 2021-12-01,38.701492537313435
Catania 2021-12-01,36.0
Milan 2021-12-01,42.78787878787879
Rome 2021-12-01,55.9
Eindhoven 2021-12-01,25.8
Groningen 2021-12-01,28.78030303030303
Krakow 2021-12-01,60.5
Poznan 2021-12-01,42.36363636363637
Lisbon 2021-12-01,10.986842105263158
Porto 2021-12-01,10.986842105263158
Bucharest 2021-12-01,15.0
Alicante 2021-12-01,20.745222929936304
Barcelona 2021-12-01,34.775
Madrid 2021-12-01,28.773809523809526
Malaga 2021-12-01,26.568181818181817
Seville 2021-12-01,22.49397590361446
Gothenburg 2021-12-01,31.0
Malmo 2021-12-01,19.12727272727273
Stockholm 2021-12-01,40.5
Graz 2021-12-02,24.13
Vienna 2021-12-02,24.13
Brussels 2021-12-02,42.36363636363637
Charleroi 2021-12-02,20.745222929936304
Brno 2021-12-02,37.04761904761905
Prague 2021-12-02,36.0
Copenhagen 2021-12-02,31.85
Tallinn 2021-12-02,28.78030303030303
Helsinki 2021-12-02,19.404761904761905
Grenoble 2021-12-02,50.4
Lille 2021-12-02,38.701492537313435
Paris 2021-12-02,50.166666666666664
Berlin 2021-12-02,56.0
Bremen 2021-12-02,34.19277108433735
Cologne 2021-12-02,29.229166666666668
Dresden 2021-12-02,31.9
Munich 2021-12-02,37.04761904761905
Athens 2021-12-02,50.108108108108105
Budapest 2021-12-02,42.97709923664122
Cork 2021-12-02,56.0
Dublin 2021-12-02,50.22222222222222
Bologna 2021-12-02,42.78787878787879
Catania 2021-12-02,39.345454545454544
Milan 2021-12-02,42.78787878787879
Rome 2021-12-02,42.36363636363637
Eindhoven 2021-12-02,25.8
Groningen 2021-12-02,28.78030303030303
Krakow 2021-12-02,54.827586206896555
Poznan 2021-12-02,42.36363636363637
Lisbon 2021-12-02,42.78787878787879
Porto 2021-12-02,38.701492537313435
Bucharest 2021-12-02,62.266666666666666
Alicante 2021-12-02,20.745222929936304
Barcelona 2021-12-02,34.775
Madrid 2021-12-02,28.773809523809526
Malaga 2021-12-02,26.568181818181817
Seville 2021-12-02,28.773809523809526
Gothenburg 2021-12-02,43.0
Malmo 2021-12-02,19.12727272727273
Stockholm 2021-12-02,36.74626865671642
Graz 2021-12-03,24.13
Vienna 2021-12-03,24.13
Brussels 2021-12-03,42.36363636363637
Charleroi 2021-12-03,20.745222929936304
Brno 2021-12-03,37.04761904761905
Prague 2021-12-03,33.76923076923077
Copenhagen 2021-12-03,32.19047619047619
Tallinn 2021-12-03,30.476190476190474
Helsinki 2021-12-03,19.404761904761905
Grenoble 2021-12-03,50.4
Lille 2021-12-03,41.23076923076923
Paris 2021-12-03,42.36363636363637
Berlin 2021-12-03,40.857142857142854
Bremen 2021-12-03,34.19277108433735
Cologne 2021-12-03,39.45
Dresden 2021-12-03,56.0
Munich 2021-12-03,37.04761904761905
Athens 2021-12-03,64.5
Budapest 2021-12-03,42.97709923664122
Cork 2021-12-03,47.91891891891892
Dublin 2021-12-03,57.473684210526315
Bologna 2021-12-03,38.701492537313435
Catania 2021-12-03,39.345454545454544
Milan 2021-12-03,45.888888888888886
Rome 2021-12-03,57.36585365853659
Eindhoven 2021-12-03,22.09090909090909
Groningen 2021-12-03,28.78030303030303
Krakow 2021-12-03,60.5
Poznan 2021-12-03,50.108108108108105
Lisbon 2021-12-03,45.888888888888886
Porto 2021-12-03,38.701492537313435
Bucharest 2021-12-03,69.4
Alicante 2021-12-03,20.745222929936304
Barcelona 2021-12-03,34.775
Madrid 2021-12-03,28.773809523809526
Malaga 2021-12-03,26.568181818181817
Seville 2021-12-03,36.0
Gothenburg 2021-12-03,43.0
Malmo 2021-12-03,17.183098591549296
Stockholm 2021-12-03,33.714285714285715
Graz 2021-12-04,11.985714285714286
Vienna 2021-12-04,11.985714285714286
Brussels 2021-12-04,24.747474747474747
Charleroi 2021-12-04,10.91796875
Brno 2021-12-04,10.484276729559749
